 # xp yp zp bx by bz
 0.35862E+00 -0.38621E+00  0.00000E+00  0.33386-159 -0.55444-159  0.13612E-05
 0.37241E+00 -0.38621E+00  0.00000E+00  0.34515-159 -0.56087-159  0.13888E-05
 0.38621E+00 -0.38621E+00  0.00000E+00  0.35584-159 -0.56553-159  0.14161E-05
 0.40000E+00 -0.38621E+00  0.00000E+00  0.36577-159 -0.56825-159  0.14428E-05
 0.00000E+00 -0.37241E+00  0.00000E+00  0.92415-160 -0.24815-159  0.85719E-06
 0.13793E-01 -0.37241E+00  0.00000E+00  0.97488-160 -0.25816-159  0.86574E-06
 0.27586E-01 -0.37241E+00  0.00000E+00  0.10288-159 -0.26863-159  0.87506E-06
 0.41379E-01 -0.37241E+00  0.00000E+00  0.10861-159 -0.27957-159  0.88519E-06
 0.55172E-01 -0.37241E+00  0.00000E+00  0.11470-159 -0.29099-159  0.89615E-06
 0.68966E-01 -0.37241E+00  0.00000E+00  0.12116-159 -0.30290-159  0.90797E-06
 0.82759E-01 -0.37241E+00  0.00000E+00  0.12802-159 -0.31532-159  0.92071E-06
 0.96552E-01 -0.37241E+00  0.00000E+00  0.13530-159 -0.32823-159  0.93438E-06
 0.11034E+00 -0.37241E+00  0.00000E+00  0.14301-159 -0.34165-159  0.94903E-06
 0.12414E+00 -0.37241E+00  0.00000E+00  0.15118-159 -0.35556-159  0.96469E-06
 0.13793E+00 -0.37241E+00  0.00000E+00  0.15982-159 -0.36995-159  0.98140E-06
 0.15172E+00 -0.37241E+00  0.00000E+00  0.16894-159 -0.38480-159  0.99917E-06
 0.16552E+00 -0.37241E+00  0.00000E+00  0.17855-159 -0.40008-159  0.10180E-05
 0.17931E+00 -0.37241E+00  0.00000E+00  0.18866-159 -0.41575-159  0.10380E-05
 0.19310E+00 -0.37241E+00  0.00000E+00  0.19928-159 -0.43177-159  0.10592E-05
 0.20690E+00 -0.37241E+00  0.00000E+00  0.21039-159 -0.44806-159  0.10814E-05
 0.22069E+00 -0.37241E+00  0.00000E+00  0.22200-159 -0.46455-159  0.11048E-05
 0.23448E+00 -0.37241E+00  0.00000E+00  0.23406-159 -0.48113-159  0.11293E-05
 0.24828E+00 -0.37241E+00  0.00000E+00  0.24657-159 -0.49771-159  0.11548E-05
 0.26207E+00 -0.37241E+00  0.00000E+00  0.25947-159 -0.51413-159  0.11813E-05
 0.27586E+00 -0.37241E+00  0.00000E+00  0.27271-159 -0.53027-159  0.12088E-05
 0.28966E+00 -0.37241E+00  0.00000E+00  0.28622-159 -0.54594-159  0.12371E-05
 0.30345E+00 -0.37241E+00  0.00000E+00  0.29991-159 -0.56095-159  0.12662E-05
 0.31724E+00 -0.37241E+00  0.00000E+00  0.31369-159 -0.57511-159  0.12958E-05
 0.33103E+00 -0.37241E+00  0.00000E+00  0.32744-159 -0.58818-159  0.13258E-05
 0.34483E+00 -0.37241E+00  0.00000E+00  0.34103-159 -0.59995-159  0.13560E-05
 0.35862E+00 -0.37241E+00  0.00000E+00  0.35430-159 -0.61018-159  0.13862E-05
 0.37241E+00 -0.37241E+00  0.00000E+00  0.36709-159 -0.61862-159  0.14161E-05
 0.38621E+00 -0.37241E+00  0.00000E+00  0.37925-159 -0.62506-159  0.14456E-05
 0.40000E+00 -0.37241E+00  0.00000E+00  0.39059-159 -0.62928-159  0.14742E-05
 0.00000E+00 -0.35862E+00  0.00000E+00  0.92571-160 -0.25813-159  0.85122E-06
 0.13793E-01 -0.35862E+00  0.00000E+00  0.97794-160 -0.26893-159  0.86002E-06
 0.27586E-01 -0.35862E+00  0.00000E+00  0.10336-159 -0.28026-159  0.86963E-06
